start_ip_in,end_ip_in,continen,countr,country_cod,country_c,regio,stat,state_cod,state_c,cit,city_c,postal_cod,area_cod,time_zon,latitud,longitud,dm,ms,connection_typ,line_spee,ip_routing_typ,as,sl,tl,organizatio,carrie,anonymizer_statu,proxy_typ,proxy_leve,proxy_last_detecte,hosting_facilit
1677721,1677747,oceani,australi,a,8,"""",new south wale,"""",6,sydne,5,200,"""",1,-33.8671,151.2071,"""","""",t,hig,fixe,1333,on,on,apnic and cloudflare dns resolver projec,cloudflar,"""","""","""","""",fals
1677747,1677823,asi,chin,c,8,"""",fujia,"""",7,fuzho,6,35000,"""",,26.0627,119.2,"""","""","""","""","""","""","""","""",chinanet fujian province networ,"""","""","""","""","""",fals
1677824,1677900,oceani,australi,a,9,"""",victori,"""",8,narre warren sout,6,380,"""",1,-38.0500,145.2981,"""","""","""","""","""",5620,bigredgrou,net.a,wirefreebroadband pty lt,gtelecom-australi,"""","""","""","""",fals
1677900,1677926,oceani,australi,a,9,"""",victori,"""",8,narre warren sout,6,380,"""",1,-38.0500,145.2981,"""","""","""","""","""",5620,"""","""",wirefreebroadband pty lt,gtelecom-australi,"""","""","""","""",fals
1677926,1678131,asi,chin,c,8,"""",guangdon,"""",7,guangzho,6,51000,"""",,23.1247,113.2386,"""","""","""","""","""","""","""","""",chinanet guangdong province networ,"""","""","""","""","""",fals
1678131,1678156,asi,japa,j,9,"""",toky,"""",8,shinjuku-k,6,160-002,"""",,35.6947,139.7027,"""","""","""","""","""",251,tepc,co.j,i2ts inc,arteria networks corporatio,"""","""","""","""",fals
1678156,1678540,asi,japa,j,8,"""",toky,"""",7,shinjuku-k,6,160-002,"""",,35.6947,139.7027,"""","""","""","""","""","""","""","""",i2ts inc,"""","""","""","""","""",fals
1678540,1678694,asi,chin,c,8,"""",guangdon,"""",7,guangzho,6,51000,"""",,23.1247,113.2386,"""","""","""","""","""","""","""","""",chinanet guangdong province networ,"""","""","""","""","""",fals
1678694,1678719,asi,chin,c,8,"""",guangdon,"""",7,guangzho,6,51000,"""",,23.1247,113.2386,"""","""",t,hig,fixe,"""","""","""",chinanet guangdong province networ,"""","""","""","""","""",fals
1678720,1679359,asi,chin,c,8,"""",guangdon,"""",7,guangzho,6,51000,"""",,23.1247,113.2386,"""","""","""","""","""","""","""","""",chinanet guangdong province networ,"""","""","""","""","""",fals
1679360,1679378,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679378,1679379,asi,japa,j,9,"""",hiroshim,"""",9,hatsukaich,9,739-044,"""",,34.2843,132.2648,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679379,1679394,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679394,1679394,asi,japa,j,9,"""",hiroshim,"""",9,hayashigahar,9,739-044,"""",,34.2792,132.2638,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679394,1679413,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679413,1679413,asi,japa,j,9,"""",hiroshim,"""",9,hatsukaich,9,738-001,"""",,34.3527,132.3380,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679414,1679417,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679418,1679418,asi,japa,j,9,"""",hiroshim,"""",9,higashi-ku (hiroshima,9,732-003,"""",,34.413,132.5090,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679418,1679432,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679432,1679432,asi,japa,j,9,"""",hiroshim,"""",9,hatsukaich,9,738-000,"""",,34.3551,132.3431,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679432,1679433,asi,japa,j,9,"""",hiroshim,"""",9,senonish,9,739-031,"""",,34.432,132.589,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679433,1679440,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679440,1679441,asi,japa,j,9,"""",hiroshim,"""",9,hayashigahar,9,739-044,"""",,34.2792,132.2638,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679441,1679445,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679445,1679445,asi,japa,j,9,"""",hiroshim,"""",9,kait,9,736-000,"""",,34.38,132.5551,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679446,1679451,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679451,1679451,asi,japa,j,9,"""",hiroshim,"""",9,hayashigahar,9,739-044,"""",,34.2792,132.2638,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679451,1679470,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679470,1679470,asi,japa,j,9,"""",hiroshim,"""",9,minami-ku (hiroshima,9,734-000,"""",,34.3714,132.4712,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679470,1679473,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679473,1679473,asi,japa,j,9,"""",hiroshim,"""",9,senonish,9,739-031,"""",,34.432,132.589,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679473,1679481,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679481,1679481,asi,japa,j,9,"""",hiroshim,"""",9,asaminami-k,9,731-015,"""",,34.4757,132.4448,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679481,1679497,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679497,1679497,asi,japa,j,9,"""",hiroshim,"""",9,saeki-k,9,731-514,"""",,34.3732,132.351,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679497,1679528,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679528,1679529,asi,japa,j,9,"""",hiroshim,"""",9,asaminami-k,9,731-316,"""",,34.4631,132.4101,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679529,1679536,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679536,1679537,asi,japa,j,9,"""",hiroshim,"""",9,saeki-k,9,731-512,"""",,34.3691,132.3553,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
1679537,1679545,asi,japa,j,9,"""",hiroshim,"""",8,higashi-ku (hiroshima,6,732-005,"""",,34.4030,132.4701,"""","""","""","""","""",1814,megaeg,ne.j,energia communications inc,energia communications in,"""","""","""","""",fals
